objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765e+18,199.7532067,-0.510694714,19.45393,18.51145,18.18137,18.03087,18.02434,1334,301,2,21,3.7234e+18,STAR,-7.91e-05,3307,54970,184
1.23765e+18,208.885042,0.190004418,15.651539999999999,15.706529999999999,15.97689,16.18581,16.42148,752,301,4,436,4.5489e+18,STAR,5.98e-06,4040,55605,976
1.23765e+18,166.96711090000002,0.226408019,19.25672,18.033170000000002,17.49975,17.28412,17.19632,756,301,4,342,3.13109e+17,STAR,0.000129663,278,51900,394
1.23765e+18,27.07593046,13.16672399,19.4709,18.40165,18.118389999999998,18.00243,18.04496,1035,301,2,141,2.13811e+18,STAR,-0.000642916,1899,53262,83
1.23765e+18,113.2235231,36.42872266,19.440520000000003,17.9555,17.14517,16.6372,16.348589999999998,1350,301,3,36,4.85298e+17,GALAXY,0.08461716,431,51877,129
1.23765e+18,162.7141895,-1.005200603,17.00017,15.58659,15.04507,14.8149,14.700660000000001,756,301,1,313,2.88118e+18,STAR,0.000494897,2559,54208,10
1.23765e+18,223.09058509999997,-0.79992531,17.81793,16.32067,15.7777,15.594339999999999,15.540370000000001,752,301,2,531,3.27525e+18,STAR,-0.00016847700000000002,2909,54653,15
1.23765e+18,184.9885898,1.0324836929999999,18.122139999999998,16.977079999999997,16.56859,16.42914,16.3673,752,301,6,277,2.8914e+18,STAR,-7.879999999999999e-05,2568,54153,325
1.23765e+18,162.8228664,-0.067004334,17.63571,16.52615,16.17197,16.05017,16.000870000000003,756,301,3,314,2.8812e+18,STAR,3.46e-05,2559,54208,67
1.23765e+18,145.06131580000002,0.7092385,17.39366,16.221120000000003,15.756429999999998,15.49954,15.353439999999999,756,301,5,195,5.36095e+17,GALAXY,0.02599558,476,52314,606
1.23765e+18,184.2024396,0.974351535,17.860529999999997,16.73753,16.383670000000002,16.25325,16.16975,752,301,6,271,3.7224e+18,STAR,-4.77e-05,3306,54922,620
1.23765e+18,193.0486873,-1.683804656,19.14181,17.80629,17.15266,16.792479999999998,16.531229999999997,1140,301,5,268,3.79576e+17,GALAXY,0.08203803,337,51997,538
1.23765e+18,25.00431705,13.46430796,18.07484,18.02114,17.62386,17.52535,17.52093,1035,301,2,127,5.24784e+18,QSO,1.297421,4661,55614,74
1.23765e+18,114.9796406,39.04140542,17.82562,16.96059,16.66876,16.50605,16.45243,1350,301,3,56,4.13221e+18,GALAXY,0.01063656,3670,55480,558
1.23765e+18,189.3624896,-1.8143129119999999,19.031270000000003,17.69794,17.008110000000002,16.6334,16.35099,1140,301,5,243,3.77308e+17,GALAXY,0.07974397,335,52000,479
1.23765e+18,162.5471497,-1.002056509,19.48367,18.1998,17.555220000000002,17.15322,16.937520000000003,756,301,1,312,3.09624e+17,GALAXY,0.1045614,275,51910,7
1.23765e+18,122.5239827,48.16069434,18.146829999999998,17.091839999999998,16.67182,16.32711,16.15876,1350,301,4,127,4.95466e+17,GALAXY,0.05600206,440,51885,253
1.23765e+18,183.2147601,-1.4631728290000001,19.36859,18.296129999999998,17.863889999999998,17.71668,17.67462,1231,301,6,93,3.72226e+18,STAR,0.000422894,3306,54922,123
1.23765e+18,207.174265,1.056714138,18.87826,17.721410000000002,17.1283,16.76697,16.549039999999998,1404,301,6,55,3.37895e+17,GALAXY,0.07096303,300,51943,454
1.23765e+18,186.24984840000002,0.130219088,17.6936,16.32069,15.80393,15.6132,15.532060000000001,752,301,4,285,2.88018e+18,STAR,0.000325267,2558,54140,481
1.23765e+18,167.1143688,0.24860410100000002,18.84909,17.61799,16.86366,16.38816,16.12932,756,301,4,343,3.13118e+17,GALAXY,0.1269682,278,51900,430
1.23765e+18,179.8444133,-0.9040518679999999,18.72034,17.87051,17.6153,17.50573,17.47885,756,301,1,428,4.25163e+18,STAR,-0.000791004,3776,55209,826
1.23765e+18,238.21049480000002,53.68557611,19.05035,18.4919,18.0033,17.86869,17.39602,1345,301,6,551,6.95957e+17,GALAXY,0.2867131,618,52049,548
1.23765e+18,134.69296930000002,54.18621833,19.45954,18.12787,17.55036,17.20251,16.98372,1345,301,4,183,5.05667e+17,GALAXY,0.08509754,449,51900,501
1.23765e+18,201.92880390000002,66.81772645,19.30805,17.9817,17.48905,17.29702,17.20194,1412,301,4,213,2.75295e+18,STAR,-7.45e-05,2445,54573,464
1.23765e+18,245.67064059999998,-0.023516022,18.03349,16.994989999999998,16.804370000000002,16.745060000000002,16.71893,745,301,3,581,3.8957e+17,STAR,-0.00033488,346,51693,33
